rowid,kepid,kepoi_name,filename
3810,1718958,K04053.01,lightcurve_1355_KIC1718958.csv
1990,5350244,K02555.01,lightcurve_1356_KIC5350244.csv
746,10794087,K01316.01,lightcurve_1357_KIC10794087.csv
3089,10873260,K00535.01,lightcurve_1359_KIC10873260.csv
2147,5339567,K02440.01,lightcurve_135_KIC5339567.csv
3286,7445445,K00567.01,lightcurve_1360_KIC7445445.csv
2456,7673192,K02722.01,lightcurve_1362_KIC7673192.csv
3039,9941859,K00528.01,lightcurve_1363_KIC9941859.csv
649,10337517,K01165.01,lightcurve_1364_KIC10337517.csv
249,8490993,K00911.01,lightcurve_1365_KIC8490993.csv
3594,7124613,K00673.01,lightcurve_1366_KIC7124613.csv
1374,11601584,K01831.01,lightcurve_1367_KIC11601584.csv
74,3342970,K00800.01,lightcurve_1368_KIC3342970.csv
14,10984090,K00112.02,lightcurve_136_KIC10984090.csv
5697,9886255,K01846.01,lightcurve_1370_KIC9886255.csv
1837,8233702,K02140.01,lightcurve_1371_KIC8233702.csv
5233,6058816,K03500.01,lightcurve_1373_KIC6058816.csv
567,9775938,K00951.01,lightcurve_1375_KIC9775938.csv
4635,4271474,K03324.01,lightcurve_1377_KIC4271474.csv
731,6934291,K01367.01,lightcurve_1378_KIC6934291.csv
2801,9881662,K00327.01,lightcurve_137_KIC9881662.csv
1716,11460462,K02110.01,lightcurve_1380_KIC11460462.csv
209,7303253,K00878.01,lightcurve_1381_KIC7303253.csv
477,3447722,K01198.01,lightcurve_1382_KIC3447722.csv
3609,10264660,K00098.01,lightcurve_1384_KIC10264660.csv
1024,9823487,K01489.01,lightcurve_1385_KIC9823487.csv
5756,9823519,K02793.01,lightcurve_1386_KIC9823519.csv
2063,11360805,K02422.01,lightcurve_1387_KIC11360805.csv
3176,5640085,K00448.01,lightcurve_1388_KIC5640085.csv
3380,10227020,K00730.01,lightcurve_1389_KIC10227020.csv
1531,10005758,K01783.01,lightcurve_1393_KIC10005758.csv
2460,11807274,K00262.01,lightcurve_1396_KIC11807274.csv
2216,11074835,K02533.01,lightcurve_1397_KIC11074835.csv
1362,6949061,K01960.01,lightcurve_1398_KIC6949061.csv
234,8150320,K00904.01,lightcurve_1399_KIC8150320.csv
2571,11129258,K02898.01,lightcurve_139_KIC11129258.csv
7266,3634051,K06103.01,lightcurve_13_KIC3634051.csv
3358,8344004,K00573.01,lightcurve_1400_KIC8344004.csv
2263,11465950,K02620.01,lightcurve_1401_KIC11465950.csv
1759,4262581,K02122.01,lightcurve_1402_KIC4262581.csv
74,3342970,K00800.01,lightcurve_1404_KIC3342970.csv
2345,10064256,K02849.01,lightcurve_1406_KIC10064256.csv
2399,9837661,K02715.01,lightcurve_1407_KIC9837661.csv
2156,8004903,K02594.01,lightcurve_1408_KIC8004903.csv
1960,8505920,K02094.01,lightcurve_1409_KIC8505920.csv
1534,5864975,K01787.01,lightcurve_140_KIC5864975.csv
1180,11337833,K01651.01,lightcurve_1410_KIC11337833.csv
2090,6767840,K02506.01,lightcurve_1411_KIC6767840.csv
2243,8025596,K02615.01,lightcurve_1412_KIC8025596.csv
168,6948054,K00869.01,lightcurve_1414_KIC6948054.csv
1782,4144576,K02202.01,lightcurve_1415_KIC4144576.csv
306,9388479,K00936.01,lightcurve_1416_KIC9388479.csv
3086,10187017,K00082.01,lightcurve_1417_KIC10187017.csv
2447,8884274,K02868.01,lightcurve_1418_KIC8884274.csv
3285,7119481,K00566.01,lightcurve_141_KIC7119481.csv
3298,9589524,K00468.01,lightcurve_1420_KIC9589524.csv
1213,9821454,K01529.01,lightcurve_1422_KIC9821454.csv
5338,8494410,K03685.01,lightcurve_1423_KIC8494410.csv
1751,5716932,K02358.01,lightcurve_1426_KIC5716932.csv
1816,4254466,K02134.01,lightcurve_1427_KIC4254466.csv
1619,3098810,K01878.01,lightcurve_1429_KIC3098810.csv
4767,4138008,K04742.01,lightcurve_142_KIC4138008.csv
1655,8277797,K01820.01,lightcurve_1431_KIC8277797.csv
1264,6049190,K01685.01,lightcurve_1432_KIC6049190.csv
5835,5773121,K04002.01,lightcurve_1433_KIC5773121.csv
746,10794087,K01316.01,lightcurve_1434_KIC10794087.csv
1897,9472000,K02082.01,lightcurve_1435_KIC9472000.csv
2006,11125613,K02485.01,lightcurve_1437_KIC11125613.csv
2008,7212184,K02487.01,lightcurve_1438_KIC7212184.csv
2456,7673192,K02722.01,lightcurve_1439_KIC7673192.csv
2873,6021275,K00284.01,lightcurve_143_KIC6021275.csv
3100,11709124,K00435.01,lightcurve_1440_KIC11709124.csv
2026,11852982,K00247.01,lightcurve_1442_KIC11852982.csv
3495,6062088,K00658.01,lightcurve_1443_KIC6062088.csv
906,9271752,K01406.01,lightcurve_1444_KIC9271752.csv
3566,9950612,K00719.01,lightcurve_1445_KIC9950612.csv
2357,9008737,K02768.01,lightcurve_1446_KIC9008737.csv
1698,9225395,K02107.01,lightcurve_1448_KIC9225395.csv
2489,7019524,K02877.01,lightcurve_1449_KIC7019524.csv
337,3240158,K01106.01,lightcurve_144_KIC3240158.csv
4609,6587796,K03237.01,lightcurve_1450_KIC6587796.csv
2713,7419318,K00313.01,lightcurve_1451_KIC7419318.csv
4375,5962262,K04661.01,lightcurve_1452_KIC5962262.csv
1760,8591693,K02123.01,lightcurve_1455_KIC8591693.csv
599,3247268,K01089.01,lightcurve_1456_KIC3247268.csv
