pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_logg,st_rad,pl_orbpererr1,pl_orbpererr2,pl_trandurherr1,pl_trandurherr2,pl_trandeperr1,pl_trandeperr2,pl_radeerr1,pl_radeerr2,pl_insolerr1,pl_insolerr2,pl_eqterr1,pl_eqterr2,st_tmagerr1,st_tmagerr2,st_disterr1,st_disterr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_dist,st_pmra,st_pmdec,tfopwg_disp
3.7795212,2.952,2761.0,5.98375,466.528,1294.0,10.2855,5771.0,4.31,1.18,4e-06,-4e-06,0.158,-0.158,60.2474,-60.2474,0.311897,-0.311897,,,,,0.006,-0.006,0.962,-0.962,132.3,-132.3,0.08,-0.08,0.06,-0.06,184.015,10.992,-57.748,PC
1.2025238,1.991,390.0,6.31106,208477.0,5952.0,9.0211,9158.0,4.32,1.74,6.7e-06,-6.7e-06,0.052,-0.052,107.57,-107.57,1.99504,-1.99504,,,,,0.006,-0.006,3.279,-3.279,171.4,-171.4,0.07,-0.07,0.05,-0.05,279.698,-19.687,10.953,FP
3.2235985,2.159,680.0,5.51341,2064.8,,8.7157,8904.0,4.09,2.17,1.38e-05,-1.38e-05,0.452,-0.452,1.13,-1.13,,,,,,,0.006,-0.006,,,239.9,-239.9,1.36,-1.36,,,280.765,-15.5,7.0,FP
4.420125,3.956,2466.0,,,,8.5483,,,,8.5e-06,-8.5e-06,1.259,-1.259,196.3,-196.3,,,,,,,0.6,-0.6,1012.54,-1012.54,,,,,,,2864.34,-6.434,4.098,APC
4.0872956,5.586113,3572.17125,13.6237732,2242.36054,1755.076738,9.8638,6036.0,3.93359,2.2186699,2.3e-06,-2.3e-06,0.0508755,-0.0508755,35.689426,-35.689426,0.6518233,-0.6518233,,,,,0.006,-0.006,2.9655,-2.9655,,,,,0.102573,-0.102573,316.678,10.552,-10.658,KP
2.55555,1.566,340.0,11.5901,3520.68,2145.0,8.3854,10037.0,,6.04,0.00045,-0.00045,0.375,-0.375,1.37224,-1.37224,,,,,,,0.007,-0.007,32.449,-32.449,123.0,-123.0,,,,,732.432,-11.78,6.725,FP
8.30792,3.228,8350.0,43.1068,2276.25,1924.0,8.0981,9081.0,3.83,3.05,0.00037,-0.00037,0.089,-0.089,160.238,-160.238,4.42399,-4.42399,,,,,0.006,-0.006,2.981,-2.981,173.2,-173.2,0.07,-0.07,0.09,-0.09,305.034,-14.189,14.261,FP
0.758082,1.8184632,583.93181,10.1273702,216218.1005,5499.747633,9.718,9917.0,3.75,3.5086601,7.3e-06,-7.3e-06,0.1306038,-0.1306038,58.10249,-58.10249,0.6658212,-0.6658212,,,,,0.006,-0.006,19.4965,-19.4965,199.6,-199.6,0.06,-0.06,0.120121,-0.120121,792.633,-11.595,3.139,PC
1.4415577,2.349,507.0,3.61078,16861.8,3174.0,9.5719,6902.0,4.25,1.52,7.4e-06,-7.4e-06,0.682,-0.682,54.9645,-54.9645,0.26004,-0.26004,,,,,0.006,-0.006,1.1015,-1.1015,135.7,-135.7,0.09,-0.09,0.06,-0.06,208.055,-9.496,14.659,FP
1.0085089,1.642,3051.0,,,,10.0031,5215.2,,,9e-07,-9e-07,0.343,-0.343,688.931,-688.931,,,,,,,0.006,-0.006,9.557,-9.557,1166.8,-1166.8,,,,,494.689,-14.441,6.214,PC
3.7039994,4.277,7590.0,17.57,3546.13,2149.0,9.6306,7013.8,4.21,1.9,3.7e-06,-3.7e-06,0.599,-0.599,1.22092,-1.22092,0.746573,-0.746573,,,,,0.006,-0.006,3.3695,-3.3695,299.6,-299.6,0.44,-0.44,0.08,-0.08,300.696,-34.609,14.667,FP
1.3042553,1.706,914.0,9.36472,26944.7,3569.0,10.0119,6762.0,4.11,1.75,2e-06,-2e-06,0.213,-0.213,628.954,-628.954,1.30647,-1.30647,,,,,0.006,-0.006,2.496,-2.496,130.2,-130.2,0.08,-0.08,0.07,-0.07,301.298,-1.536,-9.979,FP
0.62627,0.666,1880.0,5.72162,3235.57,2101.0,10.2355,5622.0,4.5,0.93,2e-05,-2e-05,0.169,-0.169,68.5212,-68.5212,0.894462,-0.894462,,,,,0.006,-0.006,1.0555,-1.0555,131.2,-131.2,0.07,-0.07,0.05,-0.05,134.926,-35.412,24.084,FP
0.30412,0.748,1330.0,10.417,280833.0,6413.0,8.802,11892.0,4.14,2.52,1e-05,-1e-05,0.1,-0.1,3.83107,-3.83107,0.668057,-0.668057,,,,,0.006,-0.006,9.484,-9.484,235.8,-235.8,0.07,-0.07,0.09,-0.09,440.426,-10.863,7.063,FP
